NodeId,id,lat,lng
BC,1,27.20262808,-81.36107672
4BB,2,27.20263327,-81.35905731
32641D,3,27.20263842,-81.3570379
41C,4,27.20264355,-81.35501848
419,5,27.20263,-81.35298
A3,6,27.20265372,-81.35097965
AB,7,27.20265877,-81.34896024
3290AE,8,27.20082245,-81.3610709
4D9,9,27.20082763,-81.35905152
C3,10,27.20083279,-81.35703214
D3,11,27.20083792,-81.35501276
A6,12,27.20084302,-81.35299338
C7,13,27.20084809,-81.350974
D6,14,27.20085313,-81.34895462
AC,15,27.19901682,-81.36106509
C0,16,27.19905817,-81.35902566
425,17,27.19902716,-81.35702639
42A,18,27.19903229,-81.35500704
D2,19,27.19903739,-81.35298769
4BD,20,27.19904246,-81.35096834
4B2,21,27.1990387,-81.3488581
3.28E+08,22,27.19721118,-81.36105927
B7,23,27.19721637,-81.35903996
32AFE9,24,27.19722153,-81.35702064
496,25,27.19722665,-81.35500132
4C6,26,27.19723175,-81.35298201
D4,27,27.19723682,-81.35096269
AF,28,27.19724186,-81.34894337
CD,29,27.19540555,-81.36105345
B8,30,27.19541074,-81.35903417
C8,31,27.19541589,-81.35701489
4BC,32,27.19542102,-81.35499561
4C0,33,27.19542612,-81.35297632
C4,34,27.19543119,-81.35095704
4BA,35,27.19543623,-81.34893775
A1,36,27.19359992,-81.36104764
B2,37,27.1936051,-81.35902839
3296F3,38,27.19361026,-81.35700914
BD,39,27.19361539,-81.35498989
326647,40,27.19362048,-81.35297064
AE,41,27.19362555,-81.35095138
327998,42,27.19363059,-81.34893213
325D04,43,27.2073,-81.367
329416,44,27.2073,-81.3562
32B7FA,45,27.2041,-81.3778
328F49,46,27.2041,-81.3742
328733,47,27.2041,-81.3706
32636B,48,27.2041,-81.367
328A63,49,27.2041,-81.3634
326547,50,27.2041,-81.3598
327F03,51,27.2041,-81.3562
326747,52,27.2041,-81.3526
329657,53,27.2041,-81.349
32B664,54,27.2009,-81.3778
3284B4,55,27.2009,-81.3742
328AFC,56,27.2009,-81.3706
328FB8,57,27.2009,-81.367
32783E,58,27.2009,-81.3634
328762,59,27.2009,-81.3346
3280B1,60,27.1977,-81.3778
328B9F,61,27.1977,-81.3742
32671B,62,27.1977,-81.3706
328790,63,27.1977,-81.367
327904,64,27.1977,-81.3634
329F69,65,27.1977,-81.3454
326505,66,27.1977,-81.3382
3262BC,67,27.1977,-81.3346
32A459,68,27.1945,-81.3742
328C20,69,27.1945,-81.3706
32814C,70,27.1945,-81.367
327966,71,27.1945,-81.3634
32866A,72,27.1945,-81.3454
32673E,73,27.1945,-81.3346
3275B8,74,27.1913,-81.3742
328666,75,27.1913,-81.3706
32B87D,76,27.1913,-81.367
32B651,77,27.1913,-81.3634
325EC5,78,27.1913,-81.3598
328AC4,79,27.1913,-81.3562
329074,80,27.1913,-81.3526
326047,81,27.1913,-81.349
327FDE,82,27.1913,-81.3418
328DD4,83,27.1913,-81.3382
32B8B7,84,27.1913,-81.3346
327710,85,27.1881,-81.3706
327727,86,27.1881,-81.367
326016,87,27.1881,-81.3634
3285D7,88,27.1881,-81.3598
32B7D7,89,27.1881,-81.3562
325EDA,90,27.1881,-81.3526
3280CF,91,27.1881,-81.349
326660,92,27.1881,-81.3454
32675E,93,27.1881,-81.3418
325ADD,94,27.1881,-81.3382
325D56,95,27.1881,-81.3346
327A84,96,27.1849,-81.3706
328C41,97,27.1849,-81.367
328049,98,27.1849,-81.3634
327AA0,99,27.1849,-81.3598
32B8F9,100,27.1849,-81.3562
325F9A,101,27.1849,-81.3526
32B772,102,27.1849,-81.3454
325D05,103,27.1817,-81.3706
328C82,104,27.1817,-81.367
329B14,105,27.1817,-81.3634
328457,106,27.1817,-81.3598
100120,107,27.1817,-81.3562
328877,108,27.1817,-81.3526
3.28E+61,109,27.1817,-81.349
328557,110,27.1817,-81.3454
328A02,111,27.1817,-81.3418
32AEC9,112,27.1785,-81.3706
328E8C,113,27.1785,-81.367
3.29E+63,114,27.1785,-81.3634
325DAD,115,27.1785,-81.3598
3283A1,116,27.1785,-81.3562
329914,117,27.1785,-81.3526
32887D,118,27.1785,-81.349
327A47,119,27.1753,-81.367
3291D9,120,27.1753,-81.3634
3267DB,121,27.1753,-81.3598
32842B,122,27.1753,-81.3562
328722,123,27.1753,-81.3526
327F6F,124,27.1753,-81.349
3298A5,125,27.1721,-81.367
32B8B9,126,27.1721,-81.3634
32260C,127,27.1721,-81.3598
329D42,128,27.1721,-81.3562
3264F2,129,27.1721,-81.3526
32859E,130,27.1721,-81.349
3260A2,131,27.1689,-81.367
32658E,132,27.1689,-81.3634
328D7D,133,27.1689,-81.3598
32B87B,134,27.1689,-81.3562
326638,135,27.1689,-81.3526
3262F4,136,27.1689,-81.349
3299F0,137,27.1657,-81.367
32629F,138,27.1657,-81.3634
329855,139,27.1657,-81.3598
328B94,140,27.1657,-81.3562
32855D,141,27.1657,-81.3526
326250,142,27.1657,-81.349
