id,Node ID,lng,lat
1,BC,-81.36107672,27.20262808
2,4BB,-81.35905731,27.20263327
3,32641D,-81.3570379,27.20263842
4,41C,-81.35501848,27.20264355
5,419,-81.35298,27.20263
6,A3,-81.35097965,27.20265372
7,AB,-81.34896024,27.20265877
8,3290AE,-81.3610709,27.20082245
9,4D9,-81.35905152,27.20082763
10,C3,-81.35703214,27.20083279
11,D3,-81.35501276,27.20083792
12,A6,-81.35299338,27.20084302
13,C7,-81.350974,27.20084809
14,D6,-81.34895462,27.20085313
15,AC,-81.36106509,27.19901682
16,C0,-81.35902566,27.19905817
17,425,-81.35702639,27.19902716
18,42A,-81.35500704,27.19903229
19,D2,-81.35298769,27.19903739
20,4BD,-81.35096834,27.19904246
21,4B2,-81.3488581,27.1990387
22,3277E5,-81.36105927,27.19721118
23,B7,-81.35903996,27.19721637
24,32AFE9,-81.35702064,27.19722153
25,496,-81.35500132,27.19722665
26,4C6,-81.35298201,27.19723175
27,D4,-81.35096269,27.19723682
28,AF,-81.34894337,27.19724186
29,CD,-81.36105345,27.19540555
30,B8,-81.35903417,27.19541074
31,C8,-81.35701489,27.19541589
32,4BC,-81.35499561,27.19542102
33,4C0,-81.35297632,27.19542612
34,C4,-81.35095704,27.19543119
35,4BA,-81.34893775,27.19543623
36,A1,-81.36104764,27.19359992
37,B2,-81.35902839,27.1936051
38,3296F3,-81.35700914,27.19361026
39,BD,-81.35498989,27.19361539
40,326647,-81.35297064,27.19362048
41,AE,-81.35095138,27.19362555
42,327998,-81.34893213,27.19363059
43,325D04,-81.367,27.2073
44,329416,-81.3562,27.2073
45,32B7FA,-81.3778,27.2041
46,328F49,-81.3742,27.2041
47,328733,-81.3706,27.2041
48,32636B,-81.367,27.2041
49,328A63,-81.3634,27.2041
50,326547,-81.3598,27.2041
51,327F03,-81.3562,27.2041
52,326747,-81.3526,27.2041
53,329657,-81.349,27.2041
54,32B664,-81.3778,27.2009
55,3284B4,-81.3742,27.2009
56,328AFC,-81.3706,27.2009
57,328FB8,-81.367,27.2009
58,32783E,-81.3634,27.2009
59,328762,-81.3346,27.2009
60,3280B1,-81.3778,27.1977
61,328B9F,-81.3742,27.1977
62,32671B,-81.3706,27.1977
63,328790,-81.367,27.1977
64,327904,-81.3634,27.1977
65,329F69,-81.3454,27.1977
66,326505,-81.3382,27.1977
67,3262BC,-81.3346,27.1977
68,32A459,-81.3742,27.1945
69,328C20,-81.3706,27.1945
70,32814C,-81.367,27.1945
71,327966,-81.3634,27.1945
72,32866A,-81.3454,27.1945
73,32673E,-81.3346,27.1945
74,3275B8,-81.3742,27.1913
75,328666,-81.3706,27.1913
76,32B87D,-81.367,27.1913
77,32B651,-81.3634,27.1913
78,325EC5,-81.3598,27.1913
79,328AC4,-81.3562,27.1913
80,329074,-81.3526,27.1913
81,326047,-81.349,27.1913
82,327FDE,-81.3418,27.1913
83,328DD4,-81.3382,27.1913
84,32B8B7,-81.3346,27.1913
85,327710,-81.3706,27.1881
86,327727,-81.367,27.1881
87,326016,-81.3634,27.1881
88,3285D7,-81.3598,27.1881
89,32B7D7,-81.3562,27.1881
90,325EDA,-81.3526,27.1881
91,3280CF,-81.349,27.1881
92,326660,-81.3454,27.1881
93,32675E,-81.3418,27.1881
94,325ADD,-81.3382,27.1881
95,325D56,-81.3346,27.1881
96,327A84,-81.3706,27.1849
97,328C41,-81.367,27.1849
98,328049,-81.3634,27.1849
99,327AA0,-81.3598,27.1849
100,32B8F9,-81.3562,27.1849
101,325F9A,-81.3526,27.1849
102,32B772,-81.3454,27.1849
103,325D05,-81.3706,27.1817
104,328C82,-81.367,27.1817
105,329B14,-81.3634,27.1817
106,328457,-81.3598,27.1817
107,100120,-81.3562,27.1817
108,328877,-81.3526,27.1817
109,328E59,-81.349,27.1817
110,328557,-81.3454,27.1817
111,328A02,-81.3418,27.1817
112,32AEC9,-81.3706,27.1785
113,328E8C,-81.367,27.1785
114,329E61,-81.3634,27.1785
115,325DAD,-81.3598,27.1785
116,3283A1,-81.3562,27.1785
117,329914,-81.3526,27.1785
118,32887D,-81.349,27.1785
119,327A47,-81.367,27.1753
120,3291D9,-81.3634,27.1753
121,3267DB,-81.3598,27.1753
122,32842B,-81.3562,27.1753
123,328722,-81.3526,27.1753
124,327F6F,-81.349,27.1753
125,3298A5,-81.367,27.1721
126,32B8B9,-81.3634,27.1721
127,32260C,-81.3598,27.1721
128,329D42,-81.3562,27.1721
129,3264F2,-81.3526,27.1721
130,32859E,-81.349,27.1721
131,3260A2,-81.367,27.1689
132,32658E,-81.3634,27.1689
133,328D7D,-81.3598,27.1689
134,32B87B,-81.3562,27.1689
135,326638,-81.3526,27.1689
136,3262F4,-81.349,27.1689
137,3299F0,-81.367,27.1657
138,32629F,-81.3634,27.1657
139,329855,-81.3598,27.1657
140,328B94,-81.3562,27.1657
141,32855D,-81.3526,27.1657
142,326250,-81.349,27.1657
