NodeId,lat,lng
BC,27.20262808,-81.36107672
4BB,27.20263327,-81.35905731
32641D,27.20263842,-81.3570379
41C,27.20264355,-81.35501848
419,27.20263,-81.35298
A3,27.20265372,-81.35097965
AB,27.20265877,-81.34896024
3290AE,27.20082245,-81.3610709
4D9,27.20082763,-81.35905152
C3,27.20083279,-81.35703214
D3,27.20083792,-81.35501276
A6,27.20084302,-81.35299338
C7,27.20084809,-81.350974
D6,27.20085313,-81.34895462
AC,27.19901682,-81.36106509
C0,27.19905817,-81.35902566
425,27.19902716,-81.35702639
42A,27.19903229,-81.35500704
D2,27.19903739,-81.35298769
4BD,27.19904246,-81.35096834
4B2,27.1990387,-81.3488581
3.28E+08,27.19721118,-81.36105927
B7,27.19721637,-81.35903996
32AFE9,27.19722153,-81.35702064
496,27.19722665,-81.35500132
4C6,27.19723175,-81.35298201
D4,27.19723682,-81.35096269
AF,27.19724186,-81.34894337
CD,27.19540555,-81.36105345
B8,27.19541074,-81.35903417
C8,27.19541589,-81.35701489
4BC,27.19542102,-81.35499561
4C0,27.19542612,-81.35297632
C4,27.19543119,-81.35095704
4BA,27.19543623,-81.34893775
A1,27.19359992,-81.36104764
B2,27.1936051,-81.35902839
3296F3,27.19361026,-81.35700914
BD,27.19361539,-81.35498989
326647,27.19362048,-81.35297064
AE,27.19362555,-81.35095138
327998,27.19363059,-81.34893213
325D04,27.2073,-81.367
329416,27.2073,-81.3562
32B7FA,27.2041,-81.3778
328F49,27.2041,-81.3742
328733,27.2041,-81.3706
32636B,27.2041,-81.367
328A63,27.2041,-81.3634
326547,27.2041,-81.3598
327F03,27.2041,-81.3562
326747,27.2041,-81.3526
329657,27.2041,-81.349
32B664,27.2009,-81.3778
3284B4,27.2009,-81.3742
328AFC,27.2009,-81.3706
328FB8,27.2009,-81.367
32783E,27.2009,-81.3634
328762,27.2009,-81.3346
3280B1,27.1977,-81.3778
328B9F,27.1977,-81.3742
32671B,27.1977,-81.3706
328790,27.1977,-81.367
327904,27.1977,-81.3634
329F69,27.1977,-81.3454
326505,27.1977,-81.3382
3262BC,27.1977,-81.3346
32A459,27.1945,-81.3742
328C20,27.1945,-81.3706
32814C,27.1945,-81.367
327966,27.1945,-81.3634
32866A,27.1945,-81.3454
32673E,27.1945,-81.3346
3275B8,27.1913,-81.3742
328666,27.1913,-81.3706
32B87D,27.1913,-81.367
32B651,27.1913,-81.3634
325EC5,27.1913,-81.3598
328AC4,27.1913,-81.3562
329074,27.1913,-81.3526
326047,27.1913,-81.349
327FDE,27.1913,-81.3418
328DD4,27.1913,-81.3382
32B8B7,27.1913,-81.3346
327710,27.1881,-81.3706
327727,27.1881,-81.367
326016,27.1881,-81.3634
3285D7,27.1881,-81.3598
32B7D7,27.1881,-81.3562
325EDA,27.1881,-81.3526
3280CF,27.1881,-81.349
326660,27.1881,-81.3454
32675E,27.1881,-81.3418
325ADD,27.1881,-81.3382
325D56,27.1881,-81.3346
327A84,27.1849,-81.3706
328C41,27.1849,-81.367
328049,27.1849,-81.3634
327AA0,27.1849,-81.3598
32B8F9,27.1849,-81.3562
325F9A,27.1849,-81.3526
32B772,27.1849,-81.3454
325D05,27.1817,-81.3706
328C82,27.1817,-81.367
329B14,27.1817,-81.3634
328457,27.1817,-81.3598
100120,27.1817,-81.3562
328877,27.1817,-81.3526
3.28E+61,27.1817,-81.349
328557,27.1817,-81.3454
328A02,27.1817,-81.3418
32AEC9,27.1785,-81.3706
328E8C,27.1785,-81.367
3.29E+63,27.1785,-81.3634
325DAD,27.1785,-81.3598
3283A1,27.1785,-81.3562
329914,27.1785,-81.3526
32887D,27.1785,-81.349
327A47,27.1753,-81.367
3291D9,27.1753,-81.3634
3267DB,27.1753,-81.3598
32842B,27.1753,-81.3562
328722,27.1753,-81.3526
327F6F,27.1753,-81.349
3298A5,27.1721,-81.367
32B8B9,27.1721,-81.3634
32260C,27.1721,-81.3598
329D42,27.1721,-81.3562
3264F2,27.1721,-81.3526
32859E,27.1721,-81.349
3260A2,27.1689,-81.367
32658E,27.1689,-81.3634
328D7D,27.1689,-81.3598
32B87B,27.1689,-81.3562
326638,27.1689,-81.3526
3262F4,27.1689,-81.349
3299F0,27.1657,-81.367
32629F,27.1657,-81.3634
329855,27.1657,-81.3598
328B94,27.1657,-81.3562
32855D,27.1657,-81.3526
326250,27.1657,-81.349
