"","x","y","TagId","freq","num_x","num_y","total","unique_nodes","easting","northing","id","total_nodes","avex","avey","zone","letter","date","time_of_day","hour"
"1",-81.3533825270816,27.196871032558,"6133331E",2019-12-10 15:00:00,-960499.699171962,-6213893.39985134,-2.06558977863468,7,465068.571452133,3008272.85717518,"6133331E 2019-12-10 15:00:00",7,465000.218875421,3008290.1571863,17,"R","2019-12-10","15:00:00",15
"2",-81.3534805722175,27.1965810670023,"6133331E",2019-12-10 15:10:00,-1455936.37272125,-9419188.37917732,-3.13111048638031,17,465004.705930034,3008235.88250436,"6133331E 2019-12-10 15:10:00",17,464990.417634341,3008258.06695384,17,"R","2019-12-10","15:10:00",15
"3",-81.3535496545374,27.1959025597968,"6133331E",2019-12-10 15:20:00,-1807591.3682829,-11694107.6371343,-3.88743234701497,22,464985.454573159,3008275.45463488,"6133331E 2019-12-10 15:20:00",22,464983.363548664,3008182.93239593,17,"R","2019-12-10","15:20:00",15
"4",-81.3527306129327,27.1968433847463,"6133331E",2019-12-10 15:30:00,-314571.616854778,-2034816.91897538,-0.676403872982291,17,465004.705854283,3008282.94128483,"6133331E 2019-12-10 15:30:00",17,465064.777745609,3008286.91297079,17,"R","2019-12-10","15:30:00",15
"5",-81.3535452409913,27.1963230205686,"6133331E",2019-12-10 15:40:00,-1445643.28044773,-9352638.80614165,-3.10901771197433,24,465007.041691868,3008346.62510969,"6133331E 2019-12-10 15:40:00",24,464983.932024529,3008229.50288129,17,"R","2019-12-10","15:40:00",15
"6",-81.3539480154134,27.1968893003326,"6133331E",2019-12-10 15:50:00,-845670.641659971,-5471676.85811614,-1.81886473861193,23,465031.695664139,3008338.65228168,"6133331E 2019-12-10 15:50:00",23,464944.216965438,3008292.3386001,17,"R","2019-12-10","15:50:00",15
"7",-81.3541763171853,27.1963355286019,"6133331E",2019-12-10 16:00:00,-920517.278043504,-5956121.78936189,-1.97994158732016,30,464926.966707468,3008363.30008292,"6133331E 2019-12-10 16:00:00",30,464921.431995083,3008231.06474746,17,"R","2019-12-10","16:00:00",16
"8",-81.3540844147114,27.1966485380771,"6133331E",2019-12-10 16:10:00,-1460106.28805342,-9447404.35069766,-3.14048201334425,30,464926.966707468,3008363.30008292,"6133331E 2019-12-10 16:10:00",30,464930.632256218,3008265.70907097,17,"R","2019-12-10","16:10:00",16
"9",-81.3532234460967,27.1958986662811,"6133331E",2019-12-10 16:40:00,-1256651.94166931,-8129270.68955034,-2.70238621912134,26,464948.038468533,3008360.73085184,"6133331E 2019-12-10 16:40:00",26,465015.671252906,3008182.41006036,17,"R","2019-12-10","16:40:00",16
"10",-81.3537128465993,27.1958465431935,"6133331E",2019-12-10 16:50:00,-971280.790170262,-6283850.60494413,-2.08892331744691,26,464955.730780894,3008337.65392561,"6133331E 2019-12-10 16:50:00",26,464967.182882215,3008176.77339361,17,"R","2019-12-10","16:50:00",16
"11",-81.3539583565663,27.1963600811492,"6133331E",2019-12-10 17:00:00,-567876.527128716,-3674225.0544861,-1.22138949045892,12,465006.666650361,3008163.3334101,"6133331E 2019-12-10 17:00:00",12,464943.027236416,3008233.72330276,17,"R","2019-12-10","17:00:00",17
"12",-81.3536537196608,27.1964703489771,"6133331E",2019-12-10 17:10:00,-813162.567303887,-5260932.76183764,-1.74883736935494,13,464963.076876447,3008176.15393199,"6133331E 2019-12-10 17:10:00",13,464973.233962758,3008245.85180162,17,"R","2019-12-10","17:10:00",17
